DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2020-04-17	31669095	Zhu Z	2019-10-24	J Allergy Clin Immunol	www.ncbi.nlm.nih.gov/pubmed/31669095	Shared Genetic and Experimental Links between Obesity-Related Traits and Asthma Subtypes in UK Biobank.	Waist circumference adjusted for body mass index	457,690 European ancestry individuals	NA	2p16.1	2	55888699	NR	EFEMP1			ENSG00000115380			rs11125609-?	rs11125609	0	11125609	intron_variant	0	NR	9E-15	14.045757490560675				Affymetrix [~ 8270000] (imputed)	N	BMI-adjusted waist circumference	http://www.ebi.ac.uk/efo/EFO_0007789	GCST009867	Genome-wide genotyping array
2020-04-17	31669095	Zhu Z	2019-10-24	J Allergy Clin Immunol	www.ncbi.nlm.nih.gov/pubmed/31669095	Shared Genetic and Experimental Links between Obesity-Related Traits and Asthma Subtypes in UK Biobank.	Waist circumference adjusted for body mass index	457,690 European ancestry individuals	NA	2p16.1	2	55907077	NR	EFEMP1			ENSG00000115380			rs56361700-?	rs56361700	0	56361700	intron_variant	0	NR	7E-10	9.154901959985743				Affymetrix [~ 8270000] (imputed)	N	BMI-adjusted waist circumference	http://www.ebi.ac.uk/efo/EFO_0007789	GCST009867	Genome-wide genotyping array
2019-03-27	30804560	Shrine N	2019-02-25	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30804560	New genetic signals for lung function highlight pathways and chronic obstructive pulmonary disease associations across multiple ancestries.	Lung function (FEV1/FVC)	321,047 European ancestry individuals	79,005 European ancestry individuals	2p16.1	2	55869757	EFEMP1	EFEMP1			ENSG00000115380			rs3791679-A	rs3791679	0	3791679	intron_variant	0	0.7714	3E-16	15.522878745280337		0.0231	[0.018-0.029] unit decrease	Affymetrix [19819130] (imputed)	N	FEV/FVC ratio	http://www.ebi.ac.uk/efo/EFO_0004713	GCST007431	Genome-wide genotyping array
2017-05-23	25673412	Shungin D	2015-02-12	Nature	www.ncbi.nlm.nih.gov/pubmed/25673412	New genetic loci link adipose and insulin biology to body fat distribution.	Hip circumference adjusted for BMI	up to 56,910 European ancestry men, up to 86,570 European ancestry women	up to 36,570 European ancestry men, 30,172 European ancestry women, 915 Filipino ancestry men, 735 Filipino ancestry women, 2,351 African American/Afro-Caribbean ancestry men, 6,258 African American/Afro-Caribbean ancestry women, 2,285 South Asian ancestry men, 506 South Asian ancestry women, 195 Seychellois ancestry men, 266 Seychellois ancestry women	2p16.1	2	55869757	EFEMP1	EFEMP1			ENSG00000115380			rs3791679-A	rs3791679	0	3791679	intron_variant	0	0.7597	6E-10	9.221848749616356	(EA, women)	0.0327	[0.022-0.043] unit increase	Affymetrix, Illumina, Perlegen [up to 2542447] (imputed)	N	BMI-adjusted hip circumference	http://www.ebi.ac.uk/efo/EFO_0008039	GCST004067	Genome-wide genotyping array
2017-05-23	25673412	Shungin D	2015-02-12	Nature	www.ncbi.nlm.nih.gov/pubmed/25673412	New genetic loci link adipose and insulin biology to body fat distribution.	Hip circumference adjusted for BMI	up to 56,910 European ancestry men, up to 86,570 European ancestry women	up to 36,570 European ancestry men, 30,172 European ancestry women, 915 Filipino ancestry men, 735 Filipino ancestry women, 2,351 African American/Afro-Caribbean ancestry men, 6,258 African American/Afro-Caribbean ancestry women, 2,285 South Asian ancestry men, 506 South Asian ancestry women, 195 Seychellois ancestry men, 266 Seychellois ancestry women	2p16.1	2	55869757	EFEMP1	EFEMP1			ENSG00000115380			rs3791679-A	rs3791679	0	3791679	intron_variant	0	0.7597	5E-15	14.301029995663981	(EA,men)	0.0466	[0.035-0.058] unit increase	Affymetrix, Illumina, Perlegen [up to 2542447] (imputed)	N	BMI-adjusted hip circumference	http://www.ebi.ac.uk/efo/EFO_0008039	GCST004067	Genome-wide genotyping array
2017-05-23	25673412	Shungin D	2015-02-12	Nature	www.ncbi.nlm.nih.gov/pubmed/25673412	New genetic loci link adipose and insulin biology to body fat distribution.	Waist circumference adjusted for body mass index	up to 56,910 European ancestry men, up to 86,570 European ancestry women	up to 36,570 European ancestry men, 30,172 European ancestry women, 915 Filipino ancestry men, 735 Filipino ancestry women, 2,351 African American/Afro-Caribbean ancestry men, 6,258 African American/Afro-Caribbean ancestry women, 2,285 South Asian ancestry men, 506 South Asian ancestry women, 195 Seychellois ancestry men, 266 Seychellois ancestry women	2p16.1	2	55869757	EFEMP1	EFEMP1			ENSG00000115380			rs3791679-A	rs3791679	0	3791679	intron_variant	0	0.7614	2E-19	18.69897000433602	(EA)	0.0353	[0.028-0.043] unit increase	Affymetrix, Illumina, Perlegen [up to 2542447] (imputed)	N	BMI-adjusted waist circumference	http://www.ebi.ac.uk/efo/EFO_0007789	GCST004063	Genome-wide genotyping array
2017-05-23	25673412	Shungin D	2015-02-12	Nature	www.ncbi.nlm.nih.gov/pubmed/25673412	New genetic loci link adipose and insulin biology to body fat distribution.	Waist circumference adjusted for body mass index	up to 56,910 European ancestry men, up to 86,570 European ancestry women	up to 36,570 European ancestry men, 30,172 European ancestry women, 915 Filipino ancestry men, 735 Filipino ancestry women, 2,351 African American/Afro-Caribbean ancestry men, 6,258 African American/Afro-Caribbean ancestry women, 2,285 South Asian ancestry men, 506 South Asian ancestry women, 195 Seychellois ancestry men, 266 Seychellois ancestry women	2p16.1	2	55869757	EFEMP1	EFEMP1			ENSG00000115380			rs3791679-A	rs3791679	0	3791679	intron_variant	0	0.7614	3E-21	20.522878745280337	(EA, men)	0.0525	[0.042-0.063] unit increase	Affymetrix, Illumina, Perlegen [up to 2542447] (imputed)	N	BMI-adjusted waist circumference	http://www.ebi.ac.uk/efo/EFO_0007789	GCST004063	Genome-wide genotyping array
2017-07-13	28374850	Ellinghaus E	2017-04-04	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/28374850	Genome-wide association analysis for chronic venous disease identifies EFEMP1 and KCNH8 as susceptibility loci.	Chronic venous disease	323 German ancestry cases and 4,619 German ancestry controls	1,946 German ancestry cases and 3,146 German ancestry controls	2p16.1	2	55868859	EFEMP1	EFEMP1			ENSG00000115380			rs17278665-G	rs17278665	0	17278665	intron_variant	0	0.15	2E-8	7.698970004336019		1.32	1.19-1.45	Affymetrix [1934349] (imputed)	N	chronic venous insufficiency, Varicose veins	http://www.ebi.ac.uk/efo/EFO_0007940, http://purl.obolibrary.org/obo/HP_0002619	GCST004343	Genome-wide genotyping array
2015-09-24	25282103	Wood AR	2014-10-05	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/25282103	Defining the role of common variation in the genomic and biological architecture of adult human height.	Height	253,288 European ancestry individuals	80,067 European ancestry individuals	2p16.1	2	55869757	EFEMP1	EFEMP1			ENSG00000115380			rs3791679-A	rs3791679	0	3791679	intron_variant	0	0.766	2E-67	66.69897000433602		0.06	[0.052-0.068] unit increase	Affymetrix, Illumina, Perlegen [2550858] (imputed)	N	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST002647	Genome-wide genotyping array
2017-08-10	28443625	Justice AE	2017-04-26	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/28443625	Genome-wide meta-analysis of 241,258 adults accounting for smoking behaviour identifies novel loci for obesity traits.	Waist circumference adjusted for BMI (adjusted for smoking behaviour)	97,400 European ancestry women, 63,892 European ancestry men, 5,829 European ancestry individuals, 10,500 African American/Afro-Caribbean ancestry women, 2,706 African American/Afro-Caribbean ancestry men, 1,030 Indian Asian ancestry women, 7,648 Indian Asian ancestry men, 1,793 Filipino ancestry women, 2,944 Hispanic/Latino ancestry women, 1,764 Hispanic/Latino ancestry men	21,496 European ancestry women, 24,385 European ancestry men, 118,364 European ancestry individuals, 2,326 African American/Afro-Caribbean ancestry women, 855 African American/Afro-Caribbean ancestry men	2p16.1	2	55869757	EFEMP1	EFEMP1			ENSG00000115380			rs3791679-A	rs3791679	0	3791679	intron_variant	0	0.7555	2E-12	11.698970004336019	(men)	0.0409	[0.03-0.052] unit increase	Affymetrix, Illumina, Perlegen [up to 2800000] (imputed)	N	smoking behavior, BMI-adjusted waist circumference	http://www.ebi.ac.uk/efo/EFO_0004318, http://www.ebi.ac.uk/efo/EFO_0007789	GCST004500	Genome-wide genotyping array
2017-08-10	28443625	Justice AE	2017-04-26	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/28443625	Genome-wide meta-analysis of 241,258 adults accounting for smoking behaviour identifies novel loci for obesity traits.	Waist circumference adjusted for BMI (adjusted for smoking behaviour)	97,400 European ancestry women, 63,892 European ancestry men, 5,829 European ancestry individuals, 10,500 African American/Afro-Caribbean ancestry women, 2,706 African American/Afro-Caribbean ancestry men, 1,030 Indian Asian ancestry women, 7,648 Indian Asian ancestry men, 1,793 Filipino ancestry women, 2,944 Hispanic/Latino ancestry women, 1,764 Hispanic/Latino ancestry men	21,496 European ancestry women, 24,385 European ancestry men, 118,364 European ancestry individuals, 2,326 African American/Afro-Caribbean ancestry women, 855 African American/Afro-Caribbean ancestry men	2p16.1	2	55869757	EFEMP1	EFEMP1			ENSG00000115380			rs3791679-A	rs3791679	0	3791679	intron_variant	0	0.7555	6E-7	6.221848749616356	(women)	0.0294	[0.018-0.041] unit increase	Affymetrix, Illumina, Perlegen [up to 2800000] (imputed)	N	smoking behavior, BMI-adjusted waist circumference	http://www.ebi.ac.uk/efo/EFO_0004318, http://www.ebi.ac.uk/efo/EFO_0007789	GCST004500	Genome-wide genotyping array
2017-08-10	28443625	Justice AE	2017-04-26	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/28443625	Genome-wide meta-analysis of 241,258 adults accounting for smoking behaviour identifies novel loci for obesity traits.	Waist circumference adjusted for BMI (joint analysis main effects and smoking interaction)	97,400 European ancestry women, 63,892 European ancestry men, 5,829 European ancestry individuals, 10,500 African American/Afro-Caribbean ancestry women, 2,706 African American/Afro-Caribbean ancestry men, 1,030 Indian Asian ancestry women, 7,648 Indian Asian ancestry men, 1,793 Filipino ancestry women, 2,944 Hispanic/Latino ancestry women, 1,764 Hispanic/Latino ancestry men	21,496 European ancestry women, 24,385 European ancestry men, 118,364 European ancestry individuals, 2,326 African American/Afro-Caribbean ancestry women, 855 African American/Afro-Caribbean ancestry men	2p16.1	2	55869757	EFEMP1	EFEMP1			ENSG00000115380			rs3791679-A	rs3791679	0	3791679	intron_variant	0	0.7555	2E-17	16.69897000433602				Affymetrix, Illumina, Perlegen [up to 2800000] (imputed)	N	smoking behavior, BMI-adjusted waist circumference	http://www.ebi.ac.uk/efo/EFO_0004318, http://www.ebi.ac.uk/efo/EFO_0007789	GCST004501	Genome-wide genotyping array
2017-08-10	28443625	Justice AE	2017-04-26	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/28443625	Genome-wide meta-analysis of 241,258 adults accounting for smoking behaviour identifies novel loci for obesity traits.	Waist circumference adjusted for BMI (joint analysis main effects and smoking interaction)	97,400 European ancestry women, 63,892 European ancestry men, 5,829 European ancestry individuals, 10,500 African American/Afro-Caribbean ancestry women, 2,706 African American/Afro-Caribbean ancestry men, 1,030 Indian Asian ancestry women, 7,648 Indian Asian ancestry men, 1,793 Filipino ancestry women, 2,944 Hispanic/Latino ancestry women, 1,764 Hispanic/Latino ancestry men	21,496 European ancestry women, 24,385 European ancestry men, 118,364 European ancestry individuals, 2,326 African American/Afro-Caribbean ancestry women, 855 African American/Afro-Caribbean ancestry men	2p16.1	2	55869757	EFEMP1	EFEMP1			ENSG00000115380			rs3791679-A	rs3791679	0	3791679	intron_variant	0	0.7555	5E-12	11.301029995663981	(men)			Affymetrix, Illumina, Perlegen [up to 2800000] (imputed)	N	smoking behavior, BMI-adjusted waist circumference	http://www.ebi.ac.uk/efo/EFO_0004318, http://www.ebi.ac.uk/efo/EFO_0007789	GCST004501	Genome-wide genotyping array
2017-08-10	28443625	Justice AE	2017-04-26	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/28443625	Genome-wide meta-analysis of 241,258 adults accounting for smoking behaviour identifies novel loci for obesity traits.	Waist circumference adjusted for BMI (joint analysis main effects and smoking interaction)	97,400 European ancestry women, 63,892 European ancestry men, 5,829 European ancestry individuals, 10,500 African American/Afro-Caribbean ancestry women, 2,706 African American/Afro-Caribbean ancestry men, 1,030 Indian Asian ancestry women, 7,648 Indian Asian ancestry men, 1,793 Filipino ancestry women, 2,944 Hispanic/Latino ancestry women, 1,764 Hispanic/Latino ancestry men	21,496 European ancestry women, 24,385 European ancestry men, 118,364 European ancestry individuals, 2,326 African American/Afro-Caribbean ancestry women, 855 African American/Afro-Caribbean ancestry men	2p16.1	2	55869757	EFEMP1	EFEMP1			ENSG00000115380			rs3791679-A	rs3791679	0	3791679	intron_variant	0	0.7555	5E-7	6.301029995663981	(women)			Affymetrix, Illumina, Perlegen [up to 2800000] (imputed)	N	smoking behavior, BMI-adjusted waist circumference	http://www.ebi.ac.uk/efo/EFO_0004318, http://www.ebi.ac.uk/efo/EFO_0007789	GCST004501	Genome-wide genotyping array
2019-07-17	28552196	Tachmazidou I	2017-06-01	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/28552196	Whole-Genome Sequencing Coupled to Imputation Discovers Genetic Signals for Anthropometric Traits.	Waist circumference adjusted for body mass index	1,247 whole genome sequenced European ancestry individuals, 3,050 whole genome sequenced individuals, 41,027 European ancestry individuals, 397 Carlantino (founder/genetic isolate) individuals, 790 Friuli Venezia Giulia (founder/genetic isolate) individuals, 1,005 Mylopotamos (founder/genetic isolate) individuals, 875 Pomak (founder/genetic isolate) individuals, 1,754 Val Borbera (founder/genetic isolate) individuals	206,723 European ancestry individuals	2p16.1	2	55884174	EFEMP1	EFEMP1			ENSG00000115380			rs3791675-T	rs3791675	0	3791675	intron_variant	0	0.2447	2E-8	7.698970004336019		0.0438	[0.029-0.059] unit decrease	Affymetrix, Illumina, Perlegen [15844966] (imputed)	N	BMI-adjusted waist circumference	http://www.ebi.ac.uk/efo/EFO_0007789	GCST008161	Genome-wide genotyping array
2017-08-10	28443625	Justice AE	2017-04-26	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/28443625	Genome-wide meta-analysis of 241,258 adults accounting for smoking behaviour identifies novel loci for obesity traits.	Waist circumference adjusted for BMI (adjusted for smoking behaviour)	97,400 European ancestry women, 63,892 European ancestry men, 5,829 European ancestry individuals, 10,500 African American/Afro-Caribbean ancestry women, 2,706 African American/Afro-Caribbean ancestry men, 1,030 Indian Asian ancestry women, 7,648 Indian Asian ancestry men, 1,793 Filipino ancestry women, 2,944 Hispanic/Latino ancestry women, 1,764 Hispanic/Latino ancestry men	21,496 European ancestry women, 24,385 European ancestry men, 118,364 European ancestry individuals, 2,326 African American/Afro-Caribbean ancestry women, 855 African American/Afro-Caribbean ancestry men	2p16.1	2	55869757	EFEMP1	EFEMP1			ENSG00000115380			rs3791679-A	rs3791679	0	3791679	intron_variant	0	0.7555	5E-16	15.301029995663981		0.0354	[0.027-0.044] unit increase	Affymetrix, Illumina, Perlegen [up to 2800000] (imputed)	N	smoking behavior, BMI-adjusted waist circumference	http://www.ebi.ac.uk/efo/EFO_0004318, http://www.ebi.ac.uk/efo/EFO_0007789	GCST004500	Genome-wide genotyping array
2019-07-17	28552196	Tachmazidou I	2017-06-01	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/28552196	Whole-Genome Sequencing Coupled to Imputation Discovers Genetic Signals for Anthropometric Traits.	Height	1,249 whole genome sequenced European ancestry individuals, 3,541 whole genome sequenced individuals, 46,910 European ancestry individuals, 471 Carlantino (founder/genetic isolate) individuals, 1,197 Friuli Venezia Giulia (founder/genetic isolate) individuals, 1,043 Mylopotamos (founder/genetic isolate) individuals, 933 Pomak (founder/genetic isolate) individuals, 1,785 Val Borbera (founder/genetic isolate) individuals	205,003 European ancestry individuals	2p16.1	2	55875609	EFEMP1	EFEMP1			ENSG00000115380			rs11899888-A	rs11899888	0	11899888	intron_variant	0	0.846	1E-10	10.0		0.0575	[0.04-0.075] unit decrease	Affymetrix, Illumina, Perlegen [15844966] (imputed)	N	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST008163	Genome-wide genotyping array
2019-07-17	28552196	Tachmazidou I	2017-06-01	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/28552196	Whole-Genome Sequencing Coupled to Imputation Discovers Genetic Signals for Anthropometric Traits.	Height	1,249 whole genome sequenced European ancestry individuals, 3,541 whole genome sequenced individuals, 46,910 European ancestry individuals, 471 Carlantino (founder/genetic isolate) individuals, 1,197 Friuli Venezia Giulia (founder/genetic isolate) individuals, 1,043 Mylopotamos (founder/genetic isolate) individuals, 933 Pomak (founder/genetic isolate) individuals, 1,785 Val Borbera (founder/genetic isolate) individuals	205,003 European ancestry individuals	2p16.1	2	55901165	EFEMP1	EFEMP1			ENSG00000115380			rs3828239-A	rs3828239	0	3828239	intron_variant	0	0.6974	5E-7	6.301029995663981		0.0347	[0.021-0.048] unit decrease	Affymetrix, Illumina, Perlegen [15844966] (imputed)	N	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST008163	Genome-wide genotyping array
2019-07-17	28552196	Tachmazidou I	2017-06-01	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/28552196	Whole-Genome Sequencing Coupled to Imputation Discovers Genetic Signals for Anthropometric Traits.	Height	1,249 whole genome sequenced European ancestry individuals, 3,541 whole genome sequenced individuals, 46,910 European ancestry individuals, 471 Carlantino (founder/genetic isolate) individuals, 1,197 Friuli Venezia Giulia (founder/genetic isolate) individuals, 1,043 Mylopotamos (founder/genetic isolate) individuals, 933 Pomak (founder/genetic isolate) individuals, 1,785 Val Borbera (founder/genetic isolate) individuals	205,003 European ancestry individuals	2p16.1	2	55869757	EFEMP1	EFEMP1			ENSG00000115380			rs3791679-A	rs3791679	0	3791679	intron_variant	0	0.7643	5E-18	17.30102999566398		0.0673	[0.052-0.083] unit increase	Affymetrix, Illumina, Perlegen [15844966] (imputed)	N	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST008163	Genome-wide genotyping array
2017-08-10	28443625	Justice AE	2017-04-26	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/28443625	Genome-wide meta-analysis of 241,258 adults accounting for smoking behaviour identifies novel loci for obesity traits.	Waist circumference adjusted for BMI in non-smokers	77,113 European ancestry women, 47,319 European ancestry men, 4,856 European ancestry individuals, 8,799 African American/Afro-Caribbean ancestry women, 1,803 African American/Afro-Caribbean ancestry men, 1,020 Indian Asian ancestry women, 6,691 Indian Asian ancestry men, 1,526 Filipino ancestry women, 2,469 Hispanic/Latino ancestry women, 1,318 Hispanic/Latino ancestry men	16,011 European ancestry women, 17,912 European ancestry men, 105,218 European ancestry individuals, 2,073 African American/Afro-Caribbean ancestry women, 647 African American/Afro-Caribbean ancestry men	2p16.1	2	55869757	EFEMP1	EFEMP1			ENSG00000115380			rs3791679-A	rs3791679	0	3791679	intron_variant	0	0.7555	2E-12	11.698970004336019		0.0344	[0.025-0.044] unit increase	Affymetrix, Illumina, Perlegen [up to 2800000] (imputed)	N	BMI-adjusted waist circumference	http://www.ebi.ac.uk/efo/EFO_0007789	GCST004504	Genome-wide genotyping array
